, Data element name,Usage [Cardinality],Segment Name,Field Identifier,HL7 V2 Field Name,"V2 value set, other notes",FHIR element location,Usage [Cardinality].1,"FHIR Value set, other notes",parsed,joined
81,Newborn Baby Indicator,O [0..1],PV2,36,PV2-36,"Y (Yes) Indicates this is a Newborn Birth Event
DaVinci did not consider this specific use case, and the V2-FHIR Mapping project didn't yet map this - assume it would need to be an extension","Y (Yes) Indicates this is a Newborn Birth Event
DaVinci did not consider this specific use case, and the V2-FHIR Mapping project didn't yet map this - assume it would need to be an extension",,Not yet defined in FHIR base specification,"['Y', '(Yes)', 'Indicates', 'this', 'is', 'a', 'Newborn', 'Birth', 'Event\nDaVinci', 'did', 'not', 'consider', 'this', 'specific', 'use', 'case,', 'and', 'the', 'V2-FHIR', 'Mapping', 'project', ""didn't"", 'yet', 'map', 'this', '-', 'assume', 'it', 'would', 'need', 'to', 'be', 'an', 'extension']","Y (Yes) Indicates this is a Newborn Birth Event
DaVinci did not consider this specific use case, and the V2-FHIR Mapping project didn't yet map this - assume it would need to be an extension"
82,Diagnosis Code,RE,DG1,3.1,Diagnosis Code - DG1.Identifier,"This value set NOT included in the Value Set Mapping table, as it is very big","https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition-definitions.html#Condition.code.codeableConcept.coding.code, where https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition-definitions.html#Condition.category is valued 'encounter-diagnosis' and referencing https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-condition-definitions.html#Condition.encounter.reference",R [1..1],"https://hl7.org/fhir/us/core/STU3.1/ValueSet-us-core-condition-code.html
Note: Currently using US Core STU3.1 - in US Core STU6.1.0 this value set also includes ICD-9 and ICD-10","['<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.code.codeableConcept.coding.code,', 'where', '<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.category', 'is', 'valued', ""'encounter-diagnosis'"", 'and', 'referencing', '<a href=""StructureDefinition-adt-notification-condition.html"">Da Vinci Admit/Discharge/Transfer Notification Condition Profile</a>.encounter.reference']","<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.code.codeableConcept.coding.code, where <a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.category is valued 'encounter-diagnosis' and referencing <a href=""StructureDefinition-adt-notification-condition.html"">Da Vinci Admit/Discharge/Transfer Notification Condition Profile</a>.encounter.reference"
83,Diagnosis Description,RE,DG1,3.2,Diagnosis Code - DG1.Text,,https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition-definitions.html#Condition.codecodeableConcept.coding.display and referencing https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-condition-definitions.html#Condition.encounter.reference,O [0..1],"The element is optional, but within the element this link is required","['<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.codecodeableConcept.coding.display', 'and', 'referencing', '<a href=""StructureDefinition-adt-notification-condition.html"">Da Vinci Admit/Discharge/Transfer Notification Condition Profile</a>.encounter.reference']","<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.codecodeableConcept.coding.display and referencing <a href=""StructureDefinition-adt-notification-condition.html"">Da Vinci Admit/Discharge/Transfer Notification Condition Profile</a>.encounter.reference"
84,Diagnosis Coding System,"C(R/X)
CP: If Diagnosis Code is valued",DG1,3.3,Diagnosis Code - DG1.Name of Coding System,"This Standard restricts the possible coding systems
I10 ICD-10
SNM SNOMED-CT NOTE: Should this be SCT, or is the intent to use the alpha codes?
http://terminology.hl7.org/2.1.0/ValueSet-v2-0396.html",https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition-definitions.html#Condition.code.codeableConcept.coding.system and referencing https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-condition-definitions.html#Condition.encounter.reference,R [1..1],,"['<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.code.codeableConcept.coding.system', 'and', 'referencing', '<a href=""StructureDefinition-adt-notification-condition.html"">Da Vinci Admit/Discharge/Transfer Notification Condition Profile</a>.encounter.reference']","<a href=""https://hl7.org/fhir/us/core/STU3.1/StructureDefinition-us-core-condition.html"">US Core Condition Profile</a>.code.codeableConcept.coding.system and referencing <a href=""StructureDefinition-adt-notification-condition.html"">Da Vinci Admit/Discharge/Transfer Notification Condition Profile</a>.encounter.reference"
85,Diagnosis Type,"C(R/X)
CP: If Diagnosis Code is valued",DG1,6,DG1-6 - Diagnosis Type,"http://terminology.hl7.org/2.1.0/ValueSet-v2-0052.html
Direct Trust recommends an HL7 vocabulary alignment effort between V2 and FHIR Diagnosis Type Value set.",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-encounter-definitions.html#Encounter.diagnosis.use,O [0..1],http://hl7.org/fhir/R4/valueset-diagnosis-role.html,"['<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.diagnosis.use']","<a href=""StructureDefinition-adt-notification-encounter.html"">Da Vinci Admit/Discharge/Transfer Notification Encounter Profile</a>.diagnosis.use"
86,Insurance Company Name,RE,IN1,4,IN1-4 - Insurance Company Name,,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-coverage-definitions.html#Coverage.payor - referencing https://hl7.org/fhir/us/davinci-hrex/STU1/StructureDefinition-hrex-organization.name.html,R [1..1],,"['<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.payor', '-', 'referencing', 'https://hl7.org/fhir/us/davinci-hrex/STU1/StructureDefinition-hrex-organization.name.html']","<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.payor - referencing https://hl7.org/fhir/us/davinci-hrex/STU1/StructureDefinition-hrex-organization.name.html"
87,Insurance Group Number,RE,IN1,8,IN1-8 - Group Number,,https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-coverage-definitions.html#Coverage.class.value where https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-coverage-definitions.html#Coverage.class.type is valued 'group',O [0..1],"The class element itself is optional, but this component is required.","['<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.class.value', 'where', '<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.class.type', 'is', 'valued', ""'group'""]","<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.class.value where <a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.class.type is valued 'group'"
88,Insurance Type,RE,IN1,15,IN1-15 - Plan Type,"Health Insurance Type 2.16.840.1.113883.3.88.12.3221.5.2, whih is X12 based vocabulary - it is not included in the Value Set Mapping",https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-coverage-definitions.html#Coverage.type,O [0..1],"http://hl7.org/fhir/R4/valueset-coverage-type.html
binding is preferred, so could be adjusted based on need","['<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.type']","<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.type"
89,Patient Insurance Member ID,RE,IN1,36,IN1-36 - Policy Number,The V2-FHIR Mapping project didn't yet map this,"https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-coverage-definitions.html#Coverage.identifier, where https://hl7.org/fhir/us/davinci-alerts/StructureDefinition-adt-notification-coverage-definitions.html#Coverage.type defines the type of policy",O [0..*],,"['<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.identifier,', 'where', '<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.type', 'defines', 'the', 'type', 'of', 'policy']","<a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.identifier, where <a href=""StructureDefinition-adt-notification-coverage.html"">Da Vinci Admit/Discharge/Transfer Notification Coverage Profile</a>.type defines the type of policy"
90,Insured’s ID Number,RE,IN1,49,IN1-49 – Insured’s ID Number,,https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-coverage-definitions.html#Coverage.ext.http://hl7.org/fhir/R5/StructureDefinition/extension-subscriberId,R [0..1],,['https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-coverage-definitions.html#Coverage.ext.http://hl7.org/fhir/R5/StructureDefinition/extension-subscriberId'],https://hl7.org/fhir/us/davinci-alerts/2020FEB/StructureDefinition-admit-discharge-notification-coverage-definitions.html#Coverage.ext.http://hl7.org/fhir/R5/StructureDefinition/extension-subscriberId
91,Mother's Name,RE [0..1],NK1,2,NK Name,when NK1-3 is valued MTH^Mother^HL70063,https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson-definitions.html#RelatedPerson.name,R [0..1],"US Core V3.1.0, which is what DaVinci Notifications is currenlty based on does not yet have  profile for relatedPerson, but V6.1.0 does = https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html, so using that for mapping here","['<a href=""https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html"">US Core RelatedPerson Profile</a>.name']","<a href=""https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html"">US Core RelatedPerson Profile</a>.name"
92,Mother's Address,RE [0..1],NK1,4,Address,when NK1-3 is valued MTH^Mother^HL70063,https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson-definitions.html#RelatedPerson.address,R [0..1],"US Core V3.1.0, which is what DaVinci Notifications is currenlty based on does not yet have  profile for relatedPerson, but V6.1.0 does = https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html, so using that for mapping here","['<a href=""https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html"">US Core RelatedPerson Profile</a>.address']","<a href=""https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html"">US Core RelatedPerson Profile</a>.address"
93,Mother's Phone Number,RE [0..*],NK1,5.1,Phone Number.Telephone Number ,when NK1-3 is valued MTH^Mother^HL70063,https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson-definitions.html#RelatedPerson.telecom,R [0..1],"US Core V3.1.0, which is what DaVinci Notifications is currenlty based on does not yet have  profile for relatedPerson, but V6.1.0 does = https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html, so using that for mapping here","['<a href=""https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html"">US Core RelatedPerson Profile</a>.telecom']","<a href=""https://hl7.org/fhir/us/core/StructureDefinition-us-core-relatedperson.html"">US Core RelatedPerson Profile</a>.telecom"
